player_name,matches_played,mins,total_assist,op_assist,total_chances_created,op_chances_created,total_xa,op_xa,player_id,club_name
Patrick Dorgu,26,1445,4,4,27,23,1.85,1.85,p596777,Man Utd
Daniel Muñoz,29,2403,3,3,27,23,3.97,3.96,p247348,Crystal Palace
Dango Ouattara,32,2279,3,2,27,20,4.32,3.75,p533463,Brentford
Reece James,29,1961,4,0,27,16,3.19,2.19,p225796,Chelsea
Malo Gusto,34,2267,3,3,27,24,2.99,2.98,p482609,Chelsea
Alex Scott,37,2859,1,1,27,20,2.95,2.46,p503139,Bournemouth
Jurriën Timber,30,2457,5,5,27,21,1.61,1.60,p445122,Arsenal
Anthony Gordon,26,1814,2,1,26,23,3.37,3.10,p232826,Newcastle
Milos Kerkez,34,2260,1,1,26,25,0.70,0.69,p544877,Liverpool
Ian Maatsen,30,1599,1,1,26,21,2.41,2.19,p441302,Aston Villa
Lucas Digne,31,1852,6,3,26,12,3.26,2.21,p101188,Aston Villa
David Brooks,31,1199,3,3,26,19,3.30,3.04,p111317,Bournemouth
Georginio Rutter,32,1790,3,3,25,22,2.93,2.93,p463067,Brighton
Lewis Hall,30,2179,1,0,25,17,2.75,1.93,p487838,Newcastle
Raúl Jiménez,36,2199,3,3,25,22,0.93,0.93,p102057,Fulham
Rodri,21,1513,0,0,25,25,2.59,2.58,p220566,Man City
Erling Haaland,35,2958,8,8,25,17,2.81,2.81,p223094,Man City
Sean Longstaff,23,1006,2,0,25,10,1.91,0.56,p180135,Leeds
Igor Thiago,38,3284,1,1,24,22,1.88,1.88,p502500,Brentford
Marcos Senesi,37,3290,5,3,24,19,4.67,4.66,p221466,Bournemouth
Cole Palmer,26,1965,1,1,24,23,2.47,2.47,p244851,Chelsea
Nordi Mukiele,32,2787,4,3,24,16,2.48,2.28,p200834,Sunderland
Samuel Chukwueze,23,1075,4,4,24,20,3.30,3.30,p218328,Fulham
James Ward-Prowse,18,1096,1,0,23,5,1.89,0.38,p101178,Burnley
Jacob Murphy,33,1618,2,2,23,20,2.74,2.74,p114243,Newcastle
Harvey Barnes,37,1961,1,1,23,22,2.75,2.75,p201666,Newcastle
Ollie Watkins,37,2852,3,3,23,20,1.30,1.30,p178301,Aston Villa
Nico O'Reilly,34,2648,3,3,23,20,2.69,2.68,p472769,Man City
Lucas Paquetá,18,1521,1,1,23,18,2.11,1.43,p224024,West Ham
Mohammed Kudus,19,1545,5,5,23,10,2.40,1.65,p460842,Spurs
Kobbie Mainoo,28,1653,2,1,22,20,1.28,1.28,p516895,Man Utd
Noni Madueke,26,1217,1,0,22,15,2.83,1.80,p248857,Arsenal
Jacob Ramsey,28,1444,3,2,22,19,1.43,1.43,p232653,Newcastle
Antonee Robinson,22,1492,0,0,22,22,1.57,1.52,p169528,Fulham
Oscar Bobb,23,1037,1,1,22,19,2.11,2.01,p477555,Fulham
Nick Woltemade,33,1912,3,3,22,19,1.53,1.53,p470313,Newcastle
Junior Kroupi,33,1683,0,0,22,22,1.53,1.53,p560262,Bournemouth
Vitalii Mykolenko,33,2960,1,1,22,20,2.46,2.33,p224967,Everton
Diego Gómez,32,2136,1,0,21,19,1.71,1.71,p514254,Brighton
Ferdi Kadioglu,37,3134,0,0,21,18,3.33,2.71,p231416,Brighton
Hannibal Mejbri,27,1231,4,4,21,16,2.06,1.96,p465527,Burnley
Jackson Tchatchoua,31,1837,1,1,21,20,1.69,1.69,p523705,Wolves
Will Hughes,31,1568,0,0,21,12,1.90,0.83,p108413,Crystal Palace
Sander Berge,35,2911,1,1,21,20,1.50,1.50,p207189,Fulham
Vitaly Janelt,25,1437,4,3,21,11,2.27,1.06,p204580,Brentford
Curtis Jones,34,1929,2,2,21,18,2.79,2.78,p206915,Liverpool
Justin Kluivert,20,951,0,0,21,19,1.53,1.31,p222683,Bournemouth
Jayden Bogle,34,2802,2,2,21,19,3.16,3.15,p226182,Leeds
Jadon Sancho,23,873,2,1,21,18,1.94,1.81,p209243,Aston Villa
Gabriel Gudmundsson,32,2637,0,0,21,21,2.75,2.66,p243526,Leeds
Hugo Ekitiké,28,1810,4,3,21,17,2.67,2.67,p510663,Liverpool
Danny Welbeck,37,2263,1,1,20,19,1.40,1.40,p50175,Brighton
Mats Wieffer,26,1908,3,2,20,16,1.87,1.86,p467779,Brighton
Lucas Pires,20,1406,0,0,20,18,1.48,1.35,p549329,Burnley
Marcus Edwards,23,1064,3,2,20,17,1.85,1.84,p174592,Burnley
Daichi Kamada,28,1908,0,0,20,15,3.24,2.49,p209400,Crystal Palace
Viktor Gyökeres,36,2230,1,1,20,19,1.94,1.94,p224117,Arsenal
Andy Robertson,24,1172,0,0,20,19,1.39,1.30,p122798,Liverpool
Richarlison,32,1957,4,2,20,16,1.47,1.46,p212319,Spurs
Dominic Calvert-Lewin,35,2726,1,1,20,19,1.09,1.09,p177815,Leeds
Quilindschy Hartman,21,1830,5,4,20,11,1.99,1.78,p494960,Burnley
Noah Okafor,28,1568,1,1,20,19,1.32,1.32,p435997,Leeds
Wilson Odobert,24,980,2,1,20,18,1.22,1.22,p550839,Spurs
Brennan Johnson,34,1722,1,0,19,13,1.31,0.93,p242898,Crystal Palace
Martín Zubimendi,38,3001,1,1,19,18,2.26,2.26,p481655,Arsenal
Ismaïla Sarr,28,2176,1,1,19,18,1.13,1.13,p232185,Crystal Palace
Jordan Henderson,32,1922,3,3,19,14,2.45,2.00,p56979,Brentford
Keane Lewis-Potter,36,1968,3,3,19,15,2.50,2.46,p249231,Brentford
Douglas Luiz,21,923,0,0,19,12,1.43,0.93,p230046,Aston Villa
Noah Sadiki,33,2894,1,1,19,18,1.45,1.44,p577669,Sunderland
Randal Kolo Muani,30,1670,1,1,19,18,1.77,1.77,p247693,Spurs
Ethan Ampadu,35,3123,1,1,19,15,2.25,1.90,p199598,Leeds
André,35,2766,0,0,18,13,0.99,0.72,p509291,Wolves
Timothy Castagne,30,1842,0,0,18,17,1.46,1.43,p166477,Fulham
Emile Smith Rowe,37,1928,0,0,18,18,1.11,1.11,p209289,Fulham
Moisés Caicedo,33,2802,1,1,18,17,2.38,2.38,p486672,Chelsea
James Tarkowski,37,3330,3,3,18,15,2.07,2.06,p17761,Everton
Aaron Wan-Bissaka,25,2084,2,2,18,16,1.00,0.98,p214590,West Ham
Ao Tanaka,28,1314,0,0,18,10,1.47,0.83,p248056,Leeds
Marc Guéhi,35,3150,3,2,18,15,2.32,2.31,p209036,Man City
Tijjani Reijnders,28,1636,2,2,17,11,2.34,1.65,p433036,Man City
Jake O'Brien,37,3124,1,0,17,13,0.99,0.76,p512462,Everton
Joelinton,27,1953,1,1,17,16,1.35,1.35,p180974,Newcastle
Luke Shaw,38,3231,1,1,16,12,1.98,1.86,p106760,Man Utd
Eberechi Eze,33,1900,2,2,16,14,2.66,2.66,p232413,Arsenal
Rio Ngumoha,19,551,1,0,16,15,2.03,2.03,p611922,Liverpool
Amine Adli,31,1082,1,1,16,14,1.62,1.57,p489888,Bournemouth
João Gomes,35,2833,1,0,16,15,2.08,2.08,p448089,Wolves
Estêvão,22,845,2,2,16,14,2.20,2.13,p624773,Chelsea
Brajan Gruda,18,715,1,1,16,13,0.88,0.85,p513433,Brighton
Jack Hinshelwood,27,1750,3,3,15,12,2.34,2.34,p532529,Brighton
Hwang Hee-Chan,26,1452,2,2,15,12,1.58,1.54,p184754,Wolves
Josh King,32,1304,2,2,15,13,0.65,0.65,p577725,Fulham
Anthony Elanga,32,1313,1,1,15,14,1.76,1.72,p449434,Newcastle
Jeremie Frimpong,21,1039,1,1,15,13,1.58,1.57,p216094,Liverpool
Igor Jesus,37,2314,4,3,15,11,1.27,1.27,p482973,Nott'm Forest
Brian Brobbey,31,1931,1,1,15,14,0.68,0.68,p441264,Sunderland
Dwight McNeil,22,1168,1,1,15,11,1.92,1.60,p433154,Everton
Yasin Ayari,29,1924,3,3,15,9,1.14,0.99,p509416,Brighton
Lewis Miley,23,1493,4,2,15,11,2.11,1.70,p547719,Newcastle
Dan Ballard,29,2148,0,0,15,15,0.66,0.66,p223827,Sunderland
Boubacar Kamara,18,1418,3,2,15,12,0.86,0.84,p226944,Aston Villa
Joe Willock,24,980,2,2,14,11,1.10,1.10,p200089,Newcastle
Kevin,26,1037,1,0,14,12,1.48,1.47,p560552,Fulham
Ryan Sessegnon,27,1822,1,1,14,13,1.81,1.80,p184349,Fulham
Rayan,15,1119,2,2,14,12,1.82,1.82,p499604,Bournemouth
Dan Ndoye,24,1176,1,1,14,13,1.54,1.53,p456512,Nott'm Forest
Pablo,14,826,1,1,14,13,1.12,1.12,p530335,West Ham
Yehor Yarmoliuk,37,2665,2,2,14,12,1.39,1.39,p508395,Brentford
Álex Jiménez,31,2323,0,0,14,14,1.61,1.61,p551483,Bournemouth
Mason Mount,23,1018,0,0,13,12,1.62,1.47,p184341,Man Utd
Jan Paul van Hecke,36,3211,3,2,13,10,1.62,1.61,p469142,Brighton
Loum Tchaouna,29,1270,1,1,13,12,0.93,0.93,p469272,Burnley
Kyle Walker,36,3097,2,0,13,9,1.34,1.21,p58621,Burnley
Florentino,31,2112,2,2,13,11,0.55,0.55,p216055,Burnley
Jefferson Lerma,31,1724,2,1,13,11,1.48,1.39,p152551,Crystal Palace
Gabriel Martinelli,30,1073,4,4,13,8,1.26,1.20,p444145,Arsenal
Piero Hincapié,25,1792,2,1,13,11,1.63,1.63,p448104,Arsenal
James Hill,29,2104,3,2,13,8,1.16,0.95,p463981,Bournemouth
Conor Gallagher,16,1190,1,1,13,12,0.72,0.72,p232787,Spurs
Jean-Ricner Bellegarde,26,1251,1,1,13,10,1.12,1.06,p231057,Wolves
Idrissa Gueye,25,2101,3,3,13,10,1.77,1.77,p80801,Everton
Josh Cullen,18,1519,2,2,13,8,1.35,1.22,p172567,Burnley
Jacob Bruun Larsen,28,1023,1,1,12,8,1.17,1.02,p179458,Burnley
Tolu Arokodare,33,1407,1,1,12,11,0.45,0.45,p488213,Wolves
Josh Laurent,33,1759,0,0,12,12,0.49,0.49,p167887,Burnley
Mikel Merino,22,1027,3,3,12,9,1.46,1.46,p195384,Arsenal
Virgil van Dijk,38,3420,0,0,12,12,1.35,1.34,p97032,Liverpool
Leon Bailey,13,452,1,1,12,8,1.46,1.10,p215711,Aston Villa
Rayan Aït-Nouri,17,976,2,1,12,9,2.02,1.79,p448514,Man City
Omar Marmoush,21,699,3,3,12,9,0.79,0.79,p438234,Man City
Ibrahim Sangaré,28,2080,2,2,12,10,1.79,1.78,p210462,Nott'm Forest
Thierno Barry,38,1915,0,0,12,12,0.47,0.47,p586309,Everton
Beto,37,1565,1,1,12,11,0.22,0.22,p486385,Everton
Destiny Udogie,20,1340,1,1,12,11,0.75,0.74,p487053,Spurs
Pascal Struijk,34,2937,1,1,12,11,0.78,0.78,p222694,Leeds
James Justin,29,1896,1,1,12,7,1.17,0.89,p220627,Leeds
Valentín Castellanos,18,1395,0,0,12,12,0.81,0.81,p247670,West Ham
Chemsdine Talbi,28,1561,1,1,12,10,1.19,1.17,p549912,Sunderland
Joshua Zirkzee,24,608,1,1,11,10,0.35,0.35,p458249,Man Utd
Yerson Mosquera,27,2142,0,0,11,7,0.69,0.60,p501837,Wolves
Kai Havertz,12,583,3,1,11,8,0.66,0.66,p219847,Arsenal
Kenny Tete,22,1794,0,0,11,11,1.42,1.41,p167074,Fulham
Tom Cairney,24,763,0,0,11,10,0.82,0.76,p76357,Fulham
Nathan Collins,35,2972,2,2,11,9,1.62,1.62,p432830,Brentford
Nico González,25,1567,0,0,11,11,1.11,1.11,p465694,Man City
Lewis Cook,18,872,1,0,11,9,0.54,0.31,p155408,Bournemouth
Nicolás Domínguez,27,1175,1,1,11,9,0.79,0.70,p250199,Nott'm Forest
Pape Matar Sarr,26,1391,4,3,11,7,1.10,1.10,p482442,Spurs
Tomás Soucek,35,2198,0,0,11,11,0.53,0.53,p215439,West Ham
Lukas Nmecha,31,1073,1,1,11,10,1.56,1.56,p174594,Leeds
Dilane Bakwa,14,552,2,2,11,7,1.01,0.79,p476887,Nott'm Forest
Ryan Christie,26,986,0,0,11,10,0.83,0.76,p158499,Bournemouth
Ilia Gruev,23,1322,3,3,11,4,0.88,0.59,p486520,Leeds
Cristian Romero,23,1872,1,1,11,10,1.26,1.25,p221632,Spurs
Jhon Arias,23,1121,0,0,11,10,0.62,0.49,p230376,Wolves
Charalampos Kostoulas,21,353,1,1,10,9,0.56,0.56,p647850,Brighton
Lesley Ugochukwu,35,2350,1,1,10,9,0.41,0.41,p503714,Burnley
Zian Flemming,29,1776,0,0,10,10,0.42,0.42,p431639,Burnley
Santiago Bueno,29,2553,1,0,10,9,1.45,1.45,p231480,Wolves
Jørgen Strand Larsen,36,2316,1,1,10,9,1.11,1.11,p247412,Crystal Palace
Calvin Bassey,30,2532,0,0,10,10,0.39,0.38,p232892,Fulham
Ross Barkley,21,852,1,1,10,9,1.35,1.35,p88894,Aston Villa
Charly Alcaraz,20,685,1,1,10,8,0.54,0.51,p502697,Everton
Rodrigo Bentancur,26,1892,1,1,10,9,0.83,0.83,p202993,Spurs
Djed Spence,30,2056,0,0,10,10,1.78,1.77,p232859,Spurs
William Saliba,31,2615,0,0,10,10,1.42,1.42,p462424,Arsenal
Lyle Foster,26,1372,2,2,10,8,0.49,0.49,p435973,Burnley
Tino Livramento,17,1328,1,0,10,9,0.95,0.91,p441191,Newcastle
Carlos Baleba,31,1662,0,0,9,9,0.76,0.76,p535301,Brighton
Ladislav Krejcí,28,2361,1,1,9,8,1.49,1.45,p431248,Wolves
Bashir Humphreys,20,1578,0,0,9,9,0.68,0.68,p461188,Burnley
Jean-Philippe Mateta,32,2222,0,0,9,9,1.31,1.31,p231747,Crystal Palace
Riccardo Calafiori,26,1707,2,1,9,7,0.76,0.73,p466075,Arsenal
Savinho,24,821,1,1,9,7,1.62,1.58,p510281,Man City
Omar Alderete,33,2802,1,1,9,8,0.92,0.92,p201895,Sunderland
Chris Rigg,18,766,1,1,9,8,1.15,1.15,p554197,Sunderland
Daniel James,19,553,0,0,9,9,0.72,0.72,p200617,Leeds
Joe Rodon,35,2953,0,0,9,9,0.57,0.57,p214225,Leeds
Wilfried Gnonto,23,524,1,1,9,8,0.72,0.72,p492859,Leeds
Chris Richards,33,2826,0,0,9,8,1.38,1.11,p427623,Crystal Palace
Benjamin Sesko,30,1635,1,1,9,8,0.28,0.28,p485711,Man Utd
Ola Aina,18,1590,0,0,9,8,0.82,0.78,p159506,Nott'm Forest
Jamie Gittens,16,490,2,2,9,7,0.93,0.93,p463936,Chelsea
James Milner,20,778,1,0,8,7,0.63,0.47,p15157,Brighton
David Møller Wolfe,22,1049,2,2,8,6,1.08,1.08,p497949,Wolves
Rodrigo Muniz,21,997,1,1,8,7,0.14,0.14,p244042,Fulham
Sven Botman,25,1838,1,1,8,7,0.88,0.88,p220237,Newcastle
Ibrahima Konaté,36,3100,0,0,8,8,0.98,0.98,p204716,Liverpool
Jorrel Hato,22,1142,0,0,8,8,0.63,0.63,p551210,Chelsea
Bertrand Traoré,12,638,0,0,8,8,0.24,0.24,p110504,Sunderland
Andrey Santos,27,1255,0,0,8,8,0.88,0.88,p532605,Chelsea
Lutsharel Geertruida,28,1685,0,0,8,8,0.83,0.83,p247955,Sunderland
João Palhinha,33,2197,2,1,8,6,0.66,0.66,p154296,Spurs
Tim Iroegbunam,29,1485,2,1,8,6,0.71,0.71,p490094,Everton
Archie Gray,24,1479,2,1,8,6,1.18,1.18,p547701,Spurs
Callum Wilson,32,1243,1,1,8,7,0.55,0.55,p75115,West Ham
Freddie Potts,22,1167,1,1,8,2,1.07,0.81,p490142,West Ham
Ben White,12,704,1,1,8,7,0.68,0.68,p198869,Arsenal
Murillo,25,2133,0,0,8,7,0.48,0.46,p575476,Nott'm Forest
Lewis Dunk,33,2837,0,0,7,7,0.57,0.57,p83299,Brighton
Maxence Lacroix,35,3087,2,1,7,5,0.89,0.89,p437499,Crystal Palace
Justin Devenny,21,788,0,0,7,7,0.39,0.38,p489706,Crystal Palace
Gabriel Magalhães,32,2751,4,1,7,3,1.82,1.82,p226597,Arsenal
Dan Burn,29,2199,2,2,7,5,0.40,0.35,p78916,Newcastle
Sepp van den Berg,32,2761,2,0,7,5,1.49,1.49,p444765,Brentford
Nathan Aké,18,688,0,0,7,7,0.53,0.53,p126184,Man City
Rico Lewis,11,402,1,1,7,6,1.39,1.39,p477064,Man City
Rúben Dias,26,2140,0,0,7,7,0.64,0.64,p171314,Man City
Amadou Onana,25,1764,0,0,7,6,0.70,0.70,p449871,Aston Villa
Tyler Adams,25,1778,2,1,7,5,0.61,0.61,p200785,Bournemouth
Habib Diarra,20,1407,2,2,7,5,0.83,0.83,p547027,Sunderland
Kyle Walker-Peters,23,1380,0,0,7,7,0.39,0.38,p158534,West Ham
Jaka Bijol,25,1893,2,1,7,5,0.78,0.78,p434752,Leeds
Maxime Estève,34,2937,0,0,7,7,0.66,0.66,p477717,Burnley
Joachim Andersen,33,2877,1,1,7,6,1.82,1.81,p174874,Fulham
Nicolò Savona,14,1026,0,0,7,6,0.44,0.43,p500151,Nott'm Forest
Simon Adingra,14,658,0,0,7,7,0.61,0.61,p535818,Sunderland
Donyell Malen,21,645,1,1,7,6,0.34,0.34,p204646,Aston Villa
Eddie Nketiah,12,416,0,0,7,7,0.48,0.48,p205533,Crystal Palace
Niclas Füllkrug,8,408,0,0,7,7,0.23,0.23,p91889,West Ham
Noussair Mazraoui,20,984,0,0,6,6,0.36,0.35,p230001,Man Utd
Adam Armstrong,14,1146,2,1,6,4,0.86,0.86,p155511,Wolves
Toti Gomes,19,1427,0,0,6,6,0.31,0.30,p510362,Wolves
Angel Gomes,12,464,0,0,6,6,0.28,0.26,p209041,Wolves
William Osula,24,811,0,0,6,6,0.62,0.62,p538207,Newcastle
Malick Thiaw,35,2964,0,0,6,6,0.97,0.97,p465642,Newcastle
James McAtee,14,289,1,1,6,5,0.37,0.36,p432714,Nott'm Forest
Taiwo Awoniyi,17,481,1,1,6,5,0.77,0.77,p210156,Nott'm Forest
Reinildo Mandava,25,1969,1,1,6,5,0.70,0.70,p434399,Sunderland
Dominic Solanke,15,1000,0,0,6,6,0.35,0.35,p154566,Spurs
Micky van de Ven,35,3043,1,0,6,5,0.37,0.37,p491279,Spurs
Merlin Röhl,16,677,0,0,6,6,0.32,0.32,p513466,Everton
Abdukodir Khusanov,21,1429,0,0,6,6,0.57,0.56,p578153,Man City
Stefanos Tzimas,9,133,1,0,6,5,0.12,0.12,p608181,Brighton
Lisandro Martínez,18,1231,0,0,5,4,0.60,0.58,p221820,Man Utd
Cristhian Mosquera,20,989,0,0,5,5,0.63,0.63,p500040,Arsenal
Evann Guessand,21,916,2,2,5,3,1.02,1.02,p485337,Crystal Palace
Joe Gomez,21,599,2,2,5,2,0.66,0.53,p171287,Liverpool
Tyrone Mings,17,1323,0,0,5,5,0.42,0.42,p149484,Aston Villa
Alex Tóth,9,137,0,0,5,4,0.33,0.31,p614574,Bournemouth
Ryan Yates,22,604,2,2,5,3,0.39,0.39,p204968,Nott'm Forest
Adam Smith,22,1076,2,2,5,3,0.25,0.24,p54469,Bournemouth
Chris Wood,15,906,0,0,5,5,0.32,0.32,p60689,Nott'm Forest
Trevoh Chalobah,34,2782,0,0,5,5,1.05,1.05,p180736,Chelsea
Lucas Bergvall,23,966,3,3,5,2,0.43,0.40,p570526,Spurs
Soungoutou Magassa,22,979,0,0,5,5,0.31,0.31,p564940,West Ham
Ollie Scarles,13,659,0,0,5,4,0.31,0.20,p536109,West Ham
Jean-Clair Todibo,23,1817,1,0,5,4,0.33,0.33,p462116,West Ham
Ezri Konsa,34,3036,0,0,5,5,0.58,0.57,p199798,Aston Villa
Armando Broja,24,849,1,0,5,4,0.23,0.23,p440323,Burnley
Ki-Jana Hoever,8,428,0,0,5,4,0.36,0.36,p441271,Wolves
Oleksandr Zinchenko,5,353,0,0,5,5,0.36,0.36,p206325,Nott'm Forest
Olivier Boscagli,12,800,1,1,4,3,0.46,0.46,p204120,Brighton
Leny Yoro,32,1739,0,0,4,4,0.63,0.63,p550864,Man Utd
Matt O'Riley,6,203,0,0,4,3,0.17,0.12,p219249,Brighton
Harry Maguire,23,1655,2,1,4,2,0.52,0.52,p95658,Man Utd
Joël Veltman,24,1050,0,0,4,3,0.22,0.21,p111478,Brighton
Hjalmar Ekdal,19,1539,0,0,4,4,0.27,0.27,p478969,Burnley
Myles Lewis-Skelly,20,698,0,0,4,4,0.20,0.20,p499169,Arsenal
Max Dowman,6,153,0,0,4,4,0.32,0.32,p616077,Arsenal
Yoane Wissa,19,521,1,1,4,3,0.56,0.56,p216646,Newcastle
Kristoffer Ajer,27,1807,1,0,4,3,0.72,0.72,p191866,Brentford
Josko Gvardiol,18,1374,2,1,4,2,0.71,0.71,p477424,Man City
Eliezer Mayenda,20,756,0,0,4,4,0.21,0.21,p564406,Sunderland
Harrison Armstrong,13,528,0,0,4,4,0.21,0.21,p609873,Everton
Tyler Dibling,14,350,0,0,4,4,0.15,0.15,p496661,Everton
Maximilian Kilman,21,1559,0,0,4,4,0.31,0.31,p214048,West Ham
Konstantinos Mavropanos,31,2528,0,0,4,4,0.70,0.70,p233963,West Ham
Tammy Abraham,12,279,0,0,4,3,0.36,0.36,p173879,Aston Villa
Rico Henry,25,1328,1,1,4,3,0.55,0.55,p194010,Brentford
Emmanuel Agbadou,14,1101,0,0,4,4,0.40,0.39,p516939,Wolves
Conor Bradley,15,932,1,1,4,3,0.94,0.93,p492777,Liverpool
Fabian Schär,16,1091,0,0,4,3,0.61,0.60,p119471,Newcastle
