club_id,player_id,player_name,club_name,birth_date
9q0arba2kbnywth8bkxlhgmdr,p567119,Shumaira Mheuka,Chelsea,2007-10-20
e5p0ehyguld7egzhiedpdnc3w,p204120,Olivier Boscagli,Brighton,1997-11-18
64bxxwu2mv2qqlv0monbkj1om,p208912,Joe Worrall,Burnley,1997-01-10
1qtaiy11gswx327s0vkibf70n,p476887,Dilane Bakwa,Nottm Forest,2002-08-26
64bxxwu2mv2qqlv0monbkj1om,p519895,Oliver Sonne,Burnley,2000-11-10
a3nyxabgsqlnqfkeg41m6tnpp,p477064,Rico Lewis,Man City,2004-11-21
c8h9bw1l82s06h77xxrelzhur,p544877,Milos Kerkez,Liverpool,2003-11-07
22doj4sgsocqpxw45h607udje,p499716,James Rowswell,Spurs,2006-07-13
7yx5dqhhphyvfisohikodajhv,p508395,Yehor Yarmoliuk,Brentford,2004-03-01
7vn2i2kd35zuetw6b38gw9jsz,p119471,Fabian Schär,Newcastle,1991-12-20
4dsgumo7d4zupm2ugsvm4zm4d,p448104,Piero Hincapié,Arsenal,2002-01-09
1r3545b2dzan8yqa80gtmcjch,p484420,Enzo Le Fée,Sunderland,2000-02-03
7yx5dqhhphyvfisohikodajhv,p231065,Ethan Pinnock,Brentford,1993-05-29
7vn2i2kd35zuetw6b38gw9jsz,p487838,Lewis Hall,Newcastle,2004-09-08
7yx5dqhhphyvfisohikodajhv,p432830,Nathan Collins,Brentford,2001-04-30
6eqit8ye8aomdsrrq0hk3v7gh,p106760,Luke Shaw,Man Utd,1995-07-12
ehd2iemqmschhj2ec0vayztzz,p629068,Braiden Graham,Everton,2007-11-07
22doj4sgsocqpxw45h607udje,p613232,James Wilson,Spurs,2007-03-06
22doj4sgsocqpxw45h607udje,p154566,Dominic Solanke,Spurs,1997-09-14
1pse9ta7a45pi2w2grjim70ge,p614574,Alex Tóth,Bournemouth,2005-10-23
1c8m2ko0wxq1asfkuykurdr0y,p427623,Chris Richards,Crystal Palace,2000-03-28
1c8m2ko0wxq1asfkuykurdr0y,p631106,Ben Casey,Crystal Palace,2008-02-04
b9si1jn1lfxfund69e9ogcu2n,p497949,David Møller Wolfe,Wolves,2002-04-23
48gk2hpqtsl6p9sx9kjhaydq4,p643970,Jayden Lienou,Leeds,2008-04-08
1c8m2ko0wxq1asfkuykurdr0y,p121709,Walter Benítez,Crystal Palace,1993-01-19
48gk2hpqtsl6p9sx9kjhaydq4,p199598,Ethan Ampadu,Leeds,2000-09-14
1pse9ta7a45pi2w2grjim70ge,p221466,Marcos Senesi,Bournemouth,1997-05-10
1pse9ta7a45pi2w2grjim70ge,p550596,Dominic Sadi,Bournemouth,2003-09-02
hzqh7z0mdl3v7gwete66syxp,p153366,Harrison Reed,Fulham,1995-01-27
9q0arba2kbnywth8bkxlhgmdr,p486672,Moisés Caicedo,Chelsea,2001-11-02
ehd2iemqmschhj2ec0vayztzz,p547801,Callum Bates,Everton,2005-09-28
b496gs285it6bheuikox6z9mj,p606798,Andrés García,Aston Villa,2003-02-07
9q0arba2kbnywth8bkxlhgmdr,p460028,Levi Colwill,Chelsea,2003-02-26
7yx5dqhhphyvfisohikodajhv,p494556,Ollie Shield,Brentford,2006-09-25
1qtaiy11gswx327s0vkibf70n,p250199,Nicolás Domínguez,Nottm Forest,1998-06-28
1r3545b2dzan8yqa80gtmcjch,p547410,Harrison Jones,Sunderland,2004-12-25
22doj4sgsocqpxw45h607udje,p184254,Guglielmo Vicario,Spurs,1996-10-07
e5p0ehyguld7egzhiedpdnc3w,p549074,Tom Watson,Brighton,2006-04-08
1pse9ta7a45pi2w2grjim70ge,p499604,Rayan,Bournemouth,2006-08-03
ehd2iemqmschhj2ec0vayztzz,p499300,Adam Aznou,Everton,2006-06-02
e5p0ehyguld7egzhiedpdnc3w,p467779,Mats Wieffer,Brighton,1999-11-16
4txjdaqveermfryvbfrr4taf7,p214590,Aaron Wan-Bissaka,West Ham,1997-11-26
4dsgumo7d4zupm2ugsvm4zm4d,p109745,Kepa Arrizabalaga,Arsenal,1994-10-03
7vn2i2kd35zuetw6b38gw9jsz,p547719,Lewis Miley,Newcastle,2006-05-01
c8h9bw1l82s06h77xxrelzhur,p216094,Jeremie Frimpong,Liverpool,2000-12-10
22doj4sgsocqpxw45h607udje,p493362,Xavi Simons,Spurs,2003-04-21
1pse9ta7a45pi2w2grjim70ge,p168636,Enes Ünal,Bournemouth,1997-05-10
1pse9ta7a45pi2w2grjim70ge,p168991,Philip Billing,Bournemouth,1996-06-11
e5p0ehyguld7egzhiedpdnc3w,p567121,Joe Knight,Brighton,2005-09-21
6eqit8ye8aomdsrrq0hk3v7gh,p209365,Matthijs de Ligt,Man Utd,1999-08-12
9q0arba2kbnywth8bkxlhgmdr,p448047,Enzo Fernández,Chelsea,2001-01-17
7yx5dqhhphyvfisohikodajhv,p547671,Riley Owen,Brentford,2005-08-24
1r3545b2dzan8yqa80gtmcjch,p232356,Jenson Jones,Sunderland,2006-06-26
7yx5dqhhphyvfisohikodajhv,p226956,Mads Roerslev,Brentford,1999-06-24
6eqit8ye8aomdsrrq0hk3v7gh,p95658,Harry Maguire,Man Utd,1993-03-05
a3nyxabgsqlnqfkeg41m6tnpp,p465694,Nico González,Man City,2002-01-03
22doj4sgsocqpxw45h607udje,p570526,Lucas Bergvall,Spurs,2006-02-02
b9si1jn1lfxfund69e9ogcu2n,p429414,Sasa Kalajdzic,Wolves,1997-07-07
1qtaiy11gswx327s0vkibf70n,p510500,Jota Silva,Nottm Forest,1999-08-01
6eqit8ye8aomdsrrq0hk3v7gh,p221820,Lisandro Martínez,Man Utd,1998-01-18
9q0arba2kbnywth8bkxlhgmdr,p215059,Robert Sánchez,Chelsea,1997-11-18
9q0arba2kbnywth8bkxlhgmdr,p179268,Marc Cucurella,Chelsea,1998-07-22
1qtaiy11gswx327s0vkibf70n,p222531,Morgan Gibbs-White,Nottm Forest,2000-01-27
6eqit8ye8aomdsrrq0hk3v7gh,p493250,Amad Diallo,Man Utd,2002-07-11
1r3545b2dzan8yqa80gtmcjch,p549912,Chemsdine Talbi,Sunderland,2005-05-09
b496gs285it6bheuikox6z9mj,p559962,Jamaldeen Jimoh-Aloba,Aston Villa,2006-10-02
e5p0ehyguld7egzhiedpdnc3w,p556637,Nehemiah Oriola,Brighton,2007-06-11
1pse9ta7a45pi2w2grjim70ge,p620487,Veljko Milosavljevic,Bournemouth,2007-06-28
1c8m2ko0wxq1asfkuykurdr0y,p232185,Ismaïla Sarr,Crystal Palace,1998-02-25
b9si1jn1lfxfund69e9ogcu2n,p231057,Jean-Ricner Bellegarde,Wolves,1998-06-27
b496gs285it6bheuikox6z9mj,p204646,Donyell Malen,Aston Villa,1999-01-19
7vn2i2kd35zuetw6b38gw9jsz,p232653,Jacob Ramsey,Newcastle,2001-05-28
1r3545b2dzan8yqa80gtmcjch,p564406,Eliezer Mayenda,Sunderland,2005-05-08
1qtaiy11gswx327s0vkibf70n,p210462,Ibrahim Sangaré,Nottm Forest,1997-12-02
7yx5dqhhphyvfisohikodajhv,p207283,Mathias Jensen,Brentford,1996-01-01
7yx5dqhhphyvfisohikodajhv,p472713,Aaron Hickey,Brentford,2002-06-10
ehd2iemqmschhj2ec0vayztzz,p512462,Jake O'Brien,Everton,2001-05-15
4dsgumo7d4zupm2ugsvm4zm4d,p500040,Cristhian Mosquera,Arsenal,2004-06-27
7yx5dqhhphyvfisohikodajhv,p249231,Keane Lewis-Potter,Brentford,2001-02-22
1c8m2ko0wxq1asfkuykurdr0y,p152551,Jefferson Lerma,Crystal Palace,1994-10-25
hzqh7z0mdl3v7gwete66syxp,p244042,Rodrigo Muniz,Fulham,2001-05-04
1qtaiy11gswx327s0vkibf70n,p60689,Chris Wood,Nottm Forest,1991-12-07
9q0arba2kbnywth8bkxlhgmdr,p491007,Dário Essugo,Chelsea,2005-03-14
1pse9ta7a45pi2w2grjim70ge,p606775,Ben Winterburn,Bournemouth,2004-09-04
64bxxwu2mv2qqlv0monbkj1om,p578614,Enock Agyei,Burnley,2005-01-13
9q0arba2kbnywth8bkxlhgmdr,p444463,Wesley Fofana,Chelsea,2000-12-17
64bxxwu2mv2qqlv0monbkj1om,p704232,George Brierley,Burnley,2007-11-20
22doj4sgsocqpxw45h607udje,p232787,Conor Gallagher,Spurs,2000-02-06
1r3545b2dzan8yqa80gtmcjch,p434399,Reinildo Mandava,Sunderland,1994-01-21
b9si1jn1lfxfund69e9ogcu2n,p155511,Adam Armstrong,Wolves,1997-02-10
1pse9ta7a45pi2w2grjim70ge,p658013,Charlie Stevens,Bournemouth,2007-05-31
7yx5dqhhphyvfisohikodajhv,p606689,Romelle Donovan,Brentford,2006-11-30
64bxxwu2mv2qqlv0monbkj1om,p518030,Max Weiss,Burnley,2004-06-15
7vn2i2kd35zuetw6b38gw9jsz,p201666,Harvey Barnes,Newcastle,1997-12-09
b9si1jn1lfxfund69e9ogcu2n,p490721,Hugo Bueno,Wolves,2002-09-18
c8h9bw1l82s06h77xxrelzhur,p491501,James McConnell,Liverpool,2004-09-13
64bxxwu2mv2qqlv0monbkj1om,p58621,Kyle Walker,Burnley,1990-05-28
ehd2iemqmschhj2ec0vayztzz,p486385,Beto,Everton,1998-01-31
1pse9ta7a45pi2w2grjim70ge,p457569,Djordje Petrovic,Bournemouth,1999-10-08
6eqit8ye8aomdsrrq0hk3v7gh,p485711,Benjamin Sesko,Man Utd,2003-05-31
7yx5dqhhphyvfisohikodajhv,p204580,Vitaly Janelt,Brentford,1998-05-10
7vn2i2kd35zuetw6b38gw9jsz,p216646,Yoane Wissa,Newcastle,1996-09-03
4dsgumo7d4zupm2ugsvm4zm4d,p116216,Leandro Trossard,Arsenal,1994-12-04
ehd2iemqmschhj2ec0vayztzz,p461446,Tyler Onyango,Everton,2003-03-04
1pse9ta7a45pi2w2grjim70ge,p575901,Julio Soler,Bournemouth,2005-02-16
1r3545b2dzan8yqa80gtmcjch,p498016,Robin Roefs,Sunderland,2003-01-17
1qtaiy11gswx327s0vkibf70n,p209046,Callum Hudson-Odoi,Nottm Forest,2000-11-07
22doj4sgsocqpxw45h607udje,p491279,Micky van de Ven,Spurs,2001-04-19
e5p0ehyguld7egzhiedpdnc3w,p509416,Yasin Ayari,Brighton,2003-10-06
1r3545b2dzan8yqa80gtmcjch,p626844,Milan Aleksic,Sunderland,2005-08-30
22doj4sgsocqpxw45h607udje,p640419,Jun'ai Byfield,Spurs,2008-12-06
1qtaiy11gswx327s0vkibf70n,p210156,Taiwo Awoniyi,Nottm Forest,1997-08-12
6eqit8ye8aomdsrrq0hk3v7gh,p451302,Altay Bayindir,Man Utd,1998-04-14
1qtaiy11gswx327s0vkibf70n,p549067,Zach Abbott,Nottm Forest,2006-05-13
1r3545b2dzan8yqa80gtmcjch,p487676,Trai Hume,Sunderland,2002-03-18
ehd2iemqmschhj2ec0vayztzz,p609873,Harrison Armstrong,Everton,2007-01-19
7vn2i2kd35zuetw6b38gw9jsz,p114243,Jacob Murphy,Newcastle,1995-02-24
22doj4sgsocqpxw45h607udje,p611917,Lucá Williams-Barnett,Spurs,2008-10-01
9q0arba2kbnywth8bkxlhgmdr,p624773,Estêvão,Chelsea,2007-04-24
22doj4sgsocqpxw45h607udje,p553299,Kota Takai,Spurs,2004-09-04
a3nyxabgsqlnqfkeg41m6tnpp,p438234,Omar Marmoush,Man City,1999-02-07
a3nyxabgsqlnqfkeg41m6tnpp,p209244,Phil Foden,Man City,2000-05-28
a3nyxabgsqlnqfkeg41m6tnpp,p465351,Matheus Nunes,Man City,1998-08-27
4txjdaqveermfryvbfrr4taf7,p490885,George Earthy,West Ham,2004-09-05
1pse9ta7a45pi2w2grjim70ge,p606774,Remy Rees-Dottin,Bournemouth,2006-03-06
64bxxwu2mv2qqlv0monbkj1om,p494960,Quilindschy Hartman,Burnley,2001-11-14
64bxxwu2mv2qqlv0monbkj1om,p431639,Zian Flemming,Burnley,1998-08-01
a3nyxabgsqlnqfkeg41m6tnpp,p466052,Rayan Cherki,Man City,2003-08-17
7vn2i2kd35zuetw6b38gw9jsz,p465642,Malick Thiaw,Newcastle,2001-08-08
7vn2i2kd35zuetw6b38gw9jsz,p538207,William Osula,Newcastle,2003-08-04
a3nyxabgsqlnqfkeg41m6tnpp,p211975,Manuel Akanji,Man City,1995-07-19
b496gs285it6bheuikox6z9mj,p149484,Tyrone Mings,Aston Villa,1993-03-13
7vn2i2kd35zuetw6b38gw9jsz,p78916,Dan Burn,Newcastle,1992-05-09
a3nyxabgsqlnqfkeg41m6tnpp,p248875,Jérémy Doku,Man City,2002-05-27
7vn2i2kd35zuetw6b38gw9jsz,p225321,Aaron Ramsdale,Newcastle,1998-05-14
e5p0ehyguld7egzhiedpdnc3w,p647850,Charalampos Kostoulas,Brighton,2007-05-30
7yx5dqhhphyvfisohikodajhv,p200641,Reiss Nelson,Brentford,1999-12-10
b496gs285it6bheuikox6z9mj,p441302,Ian Maatsen,Aston Villa,2002-03-10
9q0arba2kbnywth8bkxlhgmdr,p463034,Liam Delap,Chelsea,2003-02-08
ehd2iemqmschhj2ec0vayztzz,p496661,Tyler Dibling,Everton,2006-02-17
1qtaiy11gswx327s0vkibf70n,p432714,James McAtee,Nottm Forest,2002-10-18
hzqh7z0mdl3v7gwete66syxp,p219924,Issa Diop,Fulham,1997-01-09
48gk2hpqtsl6p9sx9kjhaydq4,p492859,Wilfried Gnonto,Leeds,2003-11-05
48gk2hpqtsl6p9sx9kjhaydq4,p214225,Joe Rodon,Leeds,1997-10-22
ehd2iemqmschhj2ec0vayztzz,p586309,Thierno Barry,Everton,2002-10-21
9q0arba2kbnywth8bkxlhgmdr,p577016,Josh Acheampong,Chelsea,2006-05-05
22doj4sgsocqpxw45h607udje,p232859,Djed Spence,Spurs,2000-08-09
b9si1jn1lfxfund69e9ogcu2n,p231480,Santiago Bueno,Wolves,1998-11-09
48gk2hpqtsl6p9sx9kjhaydq4,p592740,Alfie Cresswell,Leeds,2007-07-15
a3nyxabgsqlnqfkeg41m6tnpp,p448514,Rayan Aït-Nouri,Man City,2001-06-06
1pse9ta7a45pi2w2grjim70ge,p201658,Marcus Tavernier,Bournemouth,1999-03-22
6eqit8ye8aomdsrrq0hk3v7gh,p606745,Ayden Heaven,Man Utd,2006-09-22
a3nyxabgsqlnqfkeg41m6tnpp,p566213,Stephen Mfuni,Man City,2008-02-12
b9si1jn1lfxfund69e9ogcu2n,p483081,Rodrigo Gomes,Wolves,2003-07-07
ehd2iemqmschhj2ec0vayztzz,p215413,Kiernan Dewsbury-Hall,Everton,1998-09-06
b496gs285it6bheuikox6z9mj,p664015,Leon Routh,Aston Villa,2007-11-30
1pse9ta7a45pi2w2grjim70ge,p111317,David Brooks,Bournemouth,1997-07-08
6eqit8ye8aomdsrrq0hk3v7gh,p596777,Patrick Dorgu,Man Utd,2004-10-26
7vn2i2kd35zuetw6b38gw9jsz,p180974,Joelinton,Newcastle,1996-08-14
4dsgumo7d4zupm2ugsvm4zm4d,p499169,Myles Lewis-Skelly,Arsenal,2006-09-26
9q0arba2kbnywth8bkxlhgmdr,p514356,Roméo Lavia,Chelsea,2004-01-06
9q0arba2kbnywth8bkxlhgmdr,p225796,Reece James,Chelsea,1999-12-08
b496gs285it6bheuikox6z9mj,p122806,John McGinn,Aston Villa,1994-10-18
c8h9bw1l82s06h77xxrelzhur,p611922,Rio Ngumoha,Liverpool,2008-08-29
1r3545b2dzan8yqa80gtmcjch,p577669,Noah Sadiki,Sunderland,2004-12-17
b9si1jn1lfxfund69e9ogcu2n,p433312,Marshall Munetsi,Wolves,1996-06-22
hzqh7z0mdl3v7gwete66syxp,p619536,Seth Ridgeon,Fulham,2008-09-12
b9si1jn1lfxfund69e9ogcu2n,p685628,Jerome Abbey,Wolves,2009-09-16
7yx5dqhhphyvfisohikodajhv,p628204,Yunus Konak,Brentford,2006-01-10
1r3545b2dzan8yqa80gtmcjch,p84450,Granit Xhaka,Sunderland,1992-09-27
c8h9bw1l82s06h77xxrelzhur,p449027,Giorgi Mamardashvili,Liverpool,2000-09-29
1r3545b2dzan8yqa80gtmcjch,p461195,Dennis Cirkin,Sunderland,2002-04-06
6eqit8ye8aomdsrrq0hk3v7gh,p61256,Casemiro,Man Utd,1992-02-23
4dsgumo7d4zupm2ugsvm4zm4d,p224117,Viktor Gyökeres,Arsenal,1998-06-04
1c8m2ko0wxq1asfkuykurdr0y,p485337,Evann Guessand,Crystal Palace,2001-07-01
1r3545b2dzan8yqa80gtmcjch,p167512,Luke O'Nien,Sunderland,1994-11-21
b496gs285it6bheuikox6z9mj,p469247,Samuel Iling-Junior,Aston Villa,2003-10-04
1qtaiy11gswx327s0vkibf70n,p90585,Willy Boly,Nottm Forest,1991-02-03
c8h9bw1l82s06h77xxrelzhur,p171287,Joe Gomez,Liverpool,1997-05-23
48gk2hpqtsl6p9sx9kjhaydq4,p177815,Dominic Calvert-Lewin,Leeds,1997-03-16
4dsgumo7d4zupm2ugsvm4zm4d,p462424,William Saliba,Arsenal,2001-03-24
7vn2i2kd35zuetw6b38gw9jsz,p553746,Leo Shahar,Newcastle,2007-03-18
22doj4sgsocqpxw45h607udje,p441164,Pedro Porro,Spurs,1999-09-13
48gk2hpqtsl6p9sx9kjhaydq4,p180135,Sean Longstaff,Leeds,1997-10-30
22doj4sgsocqpxw45h607udje,p485055,Antonín Kinsky,Spurs,2003-03-13
c8h9bw1l82s06h77xxrelzhur,p591386,Trey Nyoni,Liverpool,2007-06-30
64bxxwu2mv2qqlv0monbkj1om,p644593,Kian McMahon-Brown,Burnley,2008-08-03
1r3545b2dzan8yqa80gtmcjch,p699989,Djiamgone Jocelin Ta Bi,Sunderland,2005-02-09
4txjdaqveermfryvbfrr4taf7,p613804,El Hadji Malick Diouf,West Ham,2004-12-29
b496gs285it6bheuikox6z9mj,p226944,Boubacar Kamara,Aston Villa,1999-11-23
b9si1jn1lfxfund69e9ogcu2n,p643135,Fer López,Wolves,2004-05-24
b496gs285it6bheuikox6z9mj,p515597,Lamare Bogarde,Aston Villa,2004-01-05
64bxxwu2mv2qqlv0monbkj1om,p101178,James Ward-Prowse,Burnley,1994-11-01
1c8m2ko0wxq1asfkuykurdr0y,p57328,Nathaniel Clyne,Crystal Palace,1991-04-05
1pse9ta7a45pi2w2grjim70ge,p222683,Justin Kluivert,Bournemouth,1999-05-05
6eqit8ye8aomdsrrq0hk3v7gh,p184341,Mason Mount,Man Utd,1999-01-10
48gk2hpqtsl6p9sx9kjhaydq4,p434752,Jaka Bijol,Leeds,1999-02-05
1c8m2ko0wxq1asfkuykurdr0y,p218364,Borna Sosa,Crystal Palace,1998-01-21
4dsgumo7d4zupm2ugsvm4zm4d,p445122,Jurriën Timber,Arsenal,2001-06-17
1c8m2ko0wxq1asfkuykurdr0y,p205533,Eddie Nketiah,Crystal Palace,1999-05-30
64bxxwu2mv2qqlv0monbkj1om,p180804,Axel Tuanzebe,Burnley,1997-11-14
4txjdaqveermfryvbfrr4taf7,p565431,Callum Marshall,West Ham,2004-11-28
c8h9bw1l82s06h77xxrelzhur,p155503,Freddie Woodman,Liverpool,1997-03-04
hzqh7z0mdl3v7gwete66syxp,p166477,Timothy Castagne,Fulham,1995-12-05
e5p0ehyguld7egzhiedpdnc3w,p60307,Pascal Groß,Brighton,1991-06-15
ehd2iemqmschhj2ec0vayztzz,p491745,Elijah Campbell,Everton,2004-08-02
7yx5dqhhphyvfisohikodajhv,p559610,Luka Bentt,Brentford,2007-10-01
1c8m2ko0wxq1asfkuykurdr0y,p576980,Zach Marsh,Crystal Palace,2005-10-06
a3nyxabgsqlnqfkeg41m6tnpp,p437730,Antoine Semenyo,Man City,2000-01-07
4dsgumo7d4zupm2ugsvm4zm4d,p440854,Jakub Kiwior,Arsenal,2000-02-15
4dsgumo7d4zupm2ugsvm4zm4d,p195384,Mikel Merino,Arsenal,1996-06-22
7vn2i2kd35zuetw6b38gw9jsz,p208706,Bruno Guimarães,Newcastle,1997-11-16
e5p0ehyguld7egzhiedpdnc3w,p231416,Ferdi Kadioglu,Brighton,1999-10-07
1c8m2ko0wxq1asfkuykurdr0y,p199670,Odsonne Édouard,Crystal Palace,1998-01-16
ehd2iemqmschhj2ec0vayztzz,p474907,Reece Welch,Everton,2003-09-19
hzqh7z0mdl3v7gwete66syxp,p209289,Emile Smith Rowe,Fulham,2000-07-28
7yx5dqhhphyvfisohikodajhv,p593174,Kaye Furo,Brentford,2007-02-06
a3nyxabgsqlnqfkeg41m6tnpp,p91651,Mateo Kovacic,Man City,1994-05-06
c8h9bw1l82s06h77xxrelzhur,p494595,Florian Wirtz,Liverpool,2003-05-03
a3nyxabgsqlnqfkeg41m6tnpp,p209036,Marc Guéhi,Man City,2000-07-13
4txjdaqveermfryvbfrr4taf7,p91889,Niclas Füllkrug,West Ham,1993-02-09
4dsgumo7d4zupm2ugsvm4zm4d,p616077,Max Dowman,Arsenal,2009-12-31
b9si1jn1lfxfund69e9ogcu2n,p605319,Luke Rawlings,Wolves,2008-04-04
4txjdaqveermfryvbfrr4taf7,p577114,Luis Guilherme,West Ham,2006-02-09
a3nyxabgsqlnqfkeg41m6tnpp,p171314,Rúben Dias,Man City,1997-05-14
1c8m2ko0wxq1asfkuykurdr0y,p172649,Dean Henderson,Crystal Palace,1997-03-12
7yx5dqhhphyvfisohikodajhv,p428580,Frank Onyeka,Brentford,1998-01-01
b496gs285it6bheuikox6z9mj,p645618,Bradley Burrowes,Aston Villa,2008-03-04
1qtaiy11gswx327s0vkibf70n,p568159,Archie Whitehall,Nottm Forest,2006-05-21
a3nyxabgsqlnqfkeg41m6tnpp,p616288,Ryan McAidoo,Man City,2008-06-24
48gk2hpqtsl6p9sx9kjhaydq4,p435997,Noah Okafor,Leeds,2000-05-24
48gk2hpqtsl6p9sx9kjhaydq4,p536916,Facundo Buonanotte,Leeds,2004-12-23
1r3545b2dzan8yqa80gtmcjch,p604211,Tymur Tutierov,Sunderland,2005-06-11
b496gs285it6bheuikox6z9mj,p449871,Amadou Onana,Aston Villa,2001-08-16
e5p0ehyguld7egzhiedpdnc3w,p223434,Igor Julio,Brighton,1998-02-07
1qtaiy11gswx327s0vkibf70n,p227444,Nikola Milenkovic,Nottm Forest,1997-10-12
48gk2hpqtsl6p9sx9kjhaydq4,p433952,Largie Ramazani,Leeds,2001-02-27
e5p0ehyguld7egzhiedpdnc3w,p15157,James Milner,Brighton,1986-01-04
1pse9ta7a45pi2w2grjim70ge,p155408,Lewis Cook,Bournemouth,1997-02-03
22doj4sgsocqpxw45h607udje,p493125,Radu Dragusin,Spurs,2002-02-03
4txjdaqveermfryvbfrr4taf7,p210494,Nayef Aguerd,West Ham,1996-03-30
64bxxwu2mv2qqlv0monbkj1om,p478969,Hjalmar Ekdal,Burnley,1998-10-21
7vn2i2kd35zuetw6b38gw9jsz,p545477,Alex Murphy,Newcastle,2004-06-25
1qtaiy11gswx327s0vkibf70n,p221389,John Victor,Nottm Forest,1996-02-13
1r3545b2dzan8yqa80gtmcjch,p247955,Lutsharel Geertruida,Sunderland,2000-07-18
64bxxwu2mv2qqlv0monbkj1om,p503714,Lesley Ugochukwu,Burnley,2004-03-26
48gk2hpqtsl6p9sx9kjhaydq4,p220627,James Justin,Leeds,1998-02-23
4txjdaqveermfryvbfrr4taf7,p84182,Alphonse Areola,West Ham,1993-02-27
e5p0ehyguld7egzhiedpdnc3w,p592031,Yankuba Minteh,Brighton,2004-07-22
9q0arba2kbnywth8bkxlhgmdr,p508479,Filip Jörgensen,Chelsea,2002-04-16
9q0arba2kbnywth8bkxlhgmdr,p574458,Mamadou Sarr,Chelsea,2005-08-29
hzqh7z0mdl3v7gwete66syxp,p631786,Jonah Kusi-Asare,Fulham,2007-07-04
22doj4sgsocqpxw45h607udje,p490145,Dane Scarlett,Spurs,2004-03-24
1qtaiy11gswx327s0vkibf70n,p575476,Murillo,Nottm Forest,2002-07-04
48gk2hpqtsl6p9sx9kjhaydq4,p600882,Harry Gray,Leeds,2008-10-08
e5p0ehyguld7egzhiedpdnc3w,p469142,Jan Paul van Hecke,Brighton,2000-06-08
hzqh7z0mdl3v7gwete66syxp,p591385,Sam Amissah,Fulham,2007-03-07
b9si1jn1lfxfund69e9ogcu2n,p601956,Saheed Olagunju,Wolves,2007-01-07
hzqh7z0mdl3v7gwete66syxp,p156689,Andreas Pereira,Fulham,1996-01-01
7yx5dqhhphyvfisohikodajhv,p191866,Kristoffer Ajer,Brentford,1998-04-17
48gk2hpqtsl6p9sx9kjhaydq4,p113564,Sam Byram,Leeds,1993-09-16
c8h9bw1l82s06h77xxrelzhur,p204716,Ibrahima Konaté,Liverpool,1999-05-25
